,0
145,"Я знаю людей без денег и без жизниВся суета это поиск сниженной ценыОни не могут расписать своё существованьеПроклиная систему мировозданияСознание здраво, глаза открытыСлепо веря в идеалы свободыВсе годы слились в один деньИзмучены гоненьем нерешённых проблемРыщут в потёмках голодные волкиДома-иголки проткнувшие небоОбразовали зону холодного гневаГде томили гангстеры выросшие в геттоВсего лишь масса серого цветаИ нету просвета в этой жизниНо другой не надо, сгораю в своём пламениНет времени выиграть или проигратьНет времени забрать или отдатьНекуда бежать и негде скрытьсяСудьба как стекло дробится и колетсяГрешник богу молится прося прощенияТяжких мирских грехов отпущенияВся жизнь прощение по одной траекторииТы слаб, ты не из этой категорииБлагодари святых, что не подвергли испытаниямВыражаю признанье и уваженьеЛюдям для кого каждый новый день сражениеКто несёт свой крест сквозь дебри непониманияТем кто познал радость и страданиеТем кто падал и поднималсяТем кто всегда готов за свободу драться Я знаю людей, тех, кто упалиВидел тех, кто поднимался, знал тех, кто не всталиПомню тех, кто уходил, кто оставалсяВидел в глазах страх и тех, кто смеялсяЗнаю тех, кто мечтали, и оставаясь верными даже оступаясьБуду помнить тех, кто сдались, проиграли небуЯ знал людей, но святых среди них не было Я знаю людей без имён и фамилийИх души выжимали газ холостых усилийЯ знал и тех, кто был вспышкой на экранеОни горели, а потом погасалиТеряли свой вес, улетали в сторону небесЯ смотрел им вслед делая прощальный жестМой манифест идёт тесно с оппозициейЗанимая место тут неуместноЗанять позицию, пытаясь скрыться от проблемЯ знал тех, кто берет на душу грехЗакрывает глаза, надевая на себя очкиОни хотели быть ангелами, а теперь торчкиПустые ночи, ещё более пустые дниЛюдские судьбы погасают как огниОдни и те же нравы со времён выявления цивилизацииВечные понятия сильнее разделения на нацииДеградации, подъём и нападение, фальшивые сенсацииМне наплевать на мир, а ему на меняТолько моя шкура волнует душу и семьяА остальное только мебель для проходаЛюдские проблемы мне не делают погодыИ похуй на призывы поднятия восстанияНе верю в революцию пока не поменял сознанияПоменять мир значит поменять людейВырезать всех недоносков и блядейА блядь это каждый из нас на какую-то частьПризыв, способ сорвать козырную мастьТусовки гораздо выше, ты уже слышалЧто можно быть на вершине поднимаясь с нишиИ если ты ниже, чем суждено судьбойНе забывай о времени, чтоб выиграть этот бой Я знаю людей, тех, кто упалиВидел тех, кто поднимался, знал тех, кто не всталиПомню тех, кто уходил, кто оставалсяВидел в глазах страх и тех, кто смеялсяЗнаю тех, кто мечтали, и оставаясь верными даже оступаясьБуду помнить тех, кто сдались, проиграли небуЯ знал людей, но святых среди них не было Я знаю людей, тех, кто упалиВидел тех, кто поднимался, знал тех, кто не всталиПомню тех, кто уходил, кто оставалсяВидел в глазах страх и тех, кто смеялсяЗнаю тех, кто мечтали, и оставаясь верными даже оступаясьБуду помнить тех, кто сдались, проиграли небуЯ знал людей, но святых среди них не было Я знаю людей"
146,"Здесь все нормально! А ты хочешь большего! Здесь нет выхода! А ты ищешь вход! вход, вход..."
147,"Волю в кулак, брат! Не опускать флаг!Только вперед идти, я знаю, ты не смеешь назад!Я верю в тебя, держись, не падай духомДо последнего звонка, а там, глядишь, забедокурим!У меня все отлично, нет для долгов наличных!Какие наши годы займу, отметим волю!Пусть клацают замки, на душе, бля, нет петли!Но ты же лучше меня всю эту кухню знаешь:Водили, ломали, стучали, морили, крутили, трюмили,Под пресс попадали, но, все еще, живы!А это главное, в этом и есть наша удача!Так выше голову, братишка, ебашим дальше! Эй, братуха, обрыдла скука!Здесь и на воле жмут веревки из нас вьют!Развей скуку, дай красным в ухо!Слышь, братуха! Слышь, братуха! Эй, братуха, развей скуку!Каля-баля, бей красных в ухо, братуха! Life is crazy, can make iregular guy Get a gun and blust specially when you be nearly in an a big silly We know meaning people the trust Plus Life can get you one drugs Life can make you do crime The good time behalf boss Is all bitch-smitch Yo my uncle saw he spent two years in a prison Two guns were for clips It was a reason In couple weeks ago My home got locked away No problem every motherfucking day Ohh...he`s gonna catching on a birthday So they cought him over the bullshit Caughting for kookiz fucking You know honey the way it happens early times You know it too. Don`t chest subject all over this capture For the fellows from Georgia Someone ever guilty Someone ever innocent Someone ever track in this game on life Situation drag the name So most abidients in this situates In a living day will kill and this seem You will love this way And lowly hey is ray. Are say his worst to my home evry time he calls. I don`t even vow when you bout shut I know you strong enough guy We wait for a day and day will leash you Every day and night I miss you But I know you will give fissure And every day gone be us gradient... Куда приводят мечты? Куда заводят ложные дороги?Когда и за что на ноги наденут кандалы?Полигоны смерти готовы, заряжены ружья,Сезон охоты открыт, каждый под прицелом,Мелом обводят чьей-то судьбы контур неровный,Кому-то по гроб доски, кому-то, пока что, условный...Думать над каждым шагом этого бывает мало,Когда в душе, с детства, корни криминала...Смутное время настало, нравы меняются лихо,Там, где раньше был смех, теперь пустынно и тихо...Там, где шумела листва холод закрытых дверей,Но, даже тут, брат, людей чуть больше, чем зверей..."
148,"Сомнения терзают пьяный мозг.Мну пальцы как муку,Текут мозги как воск.Я думал, что срослось все в лоск,Но вижу, дом мой полон гнилых досок.Кривляются, используют, дерутся,Смеются уходя и плача остаются.Клянутся, хнычут и вздыхают......И нихуя не понимают!"
149,"Быть может, для кого-то, ты и король русского рэпа,Но для нас ты, лишь, кривое рыло на плакате.Если папа русского хип-хопа это ты,Тогда я беспризорник для культуры,Но для тебя, дед, по-любому!Знаю, кто ты, теперь ты знаешь, кто мы!Тик-так: время пришло расставить точки над «i».Именем твоим пугать мы будем детей,Не примешь «Многоточие», бэйби, вернется рэп чародей -Ворованных идей плут, кидалово друзей, гад,Голос улиц навсегда превративший в голос денег!Перекрывать пути и красть чужие труды:Не скупился ничем, дабы достичь вершины!Но пока ты был там, я слыл добычей ментам,Чтобы кумар дал отказ, лез в чужой карман!И пусть, я был наркоман, да, но достиг всего сам,Своих друзей не кидал, хип-хоп не предавал,Как ты рисованный кумир юных голов!Что чувствуешь теперь ты после этих слов!?В альянс с тобой?! да никогда!Поверь мне на слово я сам себе теперь рэп суперзвезда! Must be a leader when your dance familiesSuper have not seenYou right on my enemy'sCannot beWe will not stop Bata suckerYou can't stoppaFake as motherfucker Don't wanna stake my cashWhen I'll get it onCause it will stay my goneI'm gonna brake your borneI'll make you goTrade to the hell wanna suckerYou can't stoppaFake as motherfucker! Ты, наверное, забыл, как ты добыл свою славу, не потев годами!Какой бы не был рейтинг, ты рядом не стоял с нами!Какой бы не был у тебя всемогущий папа,Ты всегда будешь далек от стайла уличного рэпа!Поверь мне, не от зависти я шлю тебе это послание!От верных «Многоточию» хип-хоп голов.Скажи мне, ты готов принять мой вызовC самых низов улиц, на которых ты бы не прожил пары минут?!Быть может крут ты, но для кого?!Скажи ведь для меня ты просто глина из которойСлепили то, что надо, где-то там,Где из хип-хопа делают попсу в стремлении к большим деньгам!О, это срам! Нам не понять политику вашу никак!Добился б ты как я чего-то без лавэ, скажи мне как?!Ведь я оттуда, где только бедность и беда.И я сам себе теперь – рэп суперзвезда! Зови меня L.BeeatchНеповторимая рэп-дива банды ""Многоточие""Ведет налет на царство Bad.B-Альянса!В моих глаза решительность и злой напор,Мои слова рвутся на свободу, да на простор!Держитесь за свои троны, рэпа псевдо-бароны,Теперь ваши короны пора менять на погоны!Мои верные братья со мной одержат победу!Наконец-то Россия придет к новому рэпу!Слава лучших MC должна пылиться в наших карманах!В наших руках сила, в ваших деньги и слава,Права, которых так мало,Чтобы дальше удержать вас на вершине хит-парада!Да, я представляю женское началоВ том деле, где многим из мужчин места мало!Если ты в хип-хопе гость, то я в нем навсегда!Я первая леди – рэп суперзвезда!"
150,"Любовь, любовь, любовь, любовь, любовь О, вознесись над миром Стань родником для высохших потерянных пустынь Я сам иссох, но для меня одна лишь ты, святыня И лишь в тебе мне был когда-то явлен Бог."
151,"Америка, Америка это красиво, Но Россия вот, где есть сила, вот, где есть сила! Америка, Америка это красиво, Но Россия вот, где есть сила, вот, где есть сила! Америка, Америка это красиво, Но Россия вот, где есть сила, вот, где есть сила! Америка, Америка это красиво, Но Россия вот, где есть сила, вот, где есть сила! Америка, несущая России только ложь и блажь, Припудренной под красоту продажной и пустой жизнью, Вливается в мозги наших юнцов, Пытаясь подменить наши устои, Пытаясь изменить сущность русского мировоззрения, Подбить основы бытия, сделать так чтоб мы, не думая Смотрели на указку, видели в ней сказку За миллионы баксов в итоге продали себя, Давясь попкорном в кинотеатрах. Власть денег! Что?! Грязь им всласть! Скорченные шестёрки, за то козырная масть! Кричат, что в нас играет зависть! Ни хуя подобного, чистой воды ненависть! Нельзя любить, нельзя уважать говно, Из которого лепят мифы это просто смешно! Психи у себя пускают газы, у нас воняет. Америка без мазы! Россия это знает. Я не был в штатах и мне насрать на то, что там творится. Я вырос в России в её столице, Где для людей не повод злится, Когда пылает крыша, их ценности выше вот особенность русской души! То, что у вас «американская мечта», у нас мечта для идиота! Мы птицы, мы птицы вольного полёта. И пусть все думают, что власть на карте мира слева, Мы то знаем справа, Россия Великая держава! Мы птицы! Эй! Cтоп, хватит негатива, мой дом моя крепость. Не говори: «Россия плохо!», подбирая крохи запада, Это западня, хуёво заперта, Поверь, рассчитана на тех, Кому до Родины нет дела. Америка хотела мира, стала тиром. Души проданные Бушу за спокойствие, кушанья. Под прицелом рушится их мировой порядок, Порядок ожирения, понтов и капустных грядок."
152,"Я размажжу тебе голову,Сломаю тебе ногиИ оставлю подыхатьНа изъезженной дорогеЧерной ручкой обведуЯ Этот день календаряЧтобы запомнить навсегдаКак изничтожил я тебяТы предала мою любовьУплыла на другой берегНе в свою беду забыв,Что я шизоидный холерикДо истерик довела меня ужасноНо теперьЯ знаю дорогаяКак закрытьЗа тобой дверь. Асталависта бейбАстаЛаВиста! бейбеАсталависта бейбАстаЛаВиста! бейбеАсталависта бейбАстаЛаВиста! бейбеАсталависта бейбеееАсталависта бейбАстаЛаВиста! бейбеАсталависта бейбАстаЛаВиста! бейбеАсталависта бейбАстаЛаВиста! бейбеАсталависта бейбеее Я подыщу пулеметИ подыщу пистолетИ порублю тебя на мясоНа богатырские котлетыЧикатило отдыхаетПо сравнению со мнойТихо мразь тебя убьюЯ заржавевшей кочергойЗасажу тебе ей в лобЧтоб запомнила навекиЧто нельзя любовь купитьВ ненормальном человекеМне ведь тоже нелегкоКровь стирать с асфальта губкойА потом молоть тебяЧасов десять мясорубкой… Асталависта бейбеЖаркое уже готовоПрекрасный вкусВсегда знал, что ты короваНо все кончено с тобойОтныне я с другойОна мне говорит чтоЯ парень неплохойЕй нравится жаркоеОна без ума от моих глазНо интересно как долгоПродлится это у насВ любом случае хотяДля прощального разговораУ меня есть кочергаИ три заветных слова... Девятнадцать девяносто восемь минус два ноль ноль четыреЭкскриментальный рэп, посвящается всем сукам, которых я сожрал...О, проебал, о, проебал…"
153," Мы за новую жизнь!-За новую жизнь!-Мы за светлое будущее!-За светлое будущее!-Заткнись, сука!!!-За нами Россия, товарищи!-Заткнись!!!-Ура!!!..-Спасибо...-Сука!.. Гондон! Гондон!.. Говнюк! Свободу неграм в Сингапуре!!! А!.. Дай микрофон, сука! Дай мне микрофон!!! Остановите эти басни, для себя берегите эти песни!Сколько не пой, индюк, но ты не соловей, для моих ушей!Эй! Ну че уставились? Кучней!Че за тухляк?! Вступит бит держите хуй бодрей!Толстый дядя в галстуке уже залез к вам в души,Уже почти у руля, уже почти Вам нужен!Пока Вы здесь орете дома семья ждет ужин,Не будьте стадом, здесь сегодня мозг нужен!Я не понимаю, как можно в свободной стране идти строем?!Почему науке не дают свободы, в нефти топят трупы,Кровью строят детям иллюзию рая,Учат быть счастливыми, пока другие умирают!Стоит ли бороться если точно не знаешь где правда?!Где-то придется молчать, чтоб не усугублять!Каждый докопается до истины, если захочет!Времени мало, книги правды прямо перед глазами... Куку! Я снова здесь, по первому каналу!Что?! Ты ожидал увидеть «Смехопанораму»?!Оглянись вокруг, мой друг, есть поводы поплакать!В ящике над этим ты смеешься как бездумный лапоть!Поток рекламы не остановить, пора купить,И то и это: авиабилеты, полные пакеты,Гадости из супермаркета, для полной радости,Куча сладостей, горстями мелочь из автоматов!Реальность ставит на места и дядю в галстуке,И бедного с богатым перед смертью ставит в очередь,Пока тебе лапшу на ушки медленно наматывают,Загляни в себя, похоже там таится оторопь... Да, циничнее разочарованных только тупые!Засуньте себе, гангстеры, в очко свои понты глухие!Пока вы там табачите на сраном Бумере,В сегменте андеграундом есть люди, что ищут ответы!Куда тебе курить?! Ты дышишь еле-еле!Пропаганда этой дряни делает тебя еще тупее!Ты только средство воплощения чужих целей!Среди друзей-жополизов, ты лишь, лопата лавэ!Что ты продашь сегодня тиражами миллионными?!Может 4-5 мелодий для рингтонов?!Пираты не дадут честно заработать на Роллс-Ройс!Гудбай, Американ Дрим! Привет, Кидос! -Эй, че за хуйня, где музыка, ДиДжей?!-Ну, зачем эти все наезды, зачем это? Вы же одно дело делаете...-Че, бля?!-Ну, не надо так...-Где музыка, сука?!! Циничен каждый кто пытался достучаться!Неужели в этом мире нет желанья просто развиваться?!При виде Бори Моисеева, душа болит!И этот человек со зрителем со сцены говорит?! -Зачем же так, не надо, не бей меня... не...-Ты, блядь, сука ебаная, блядь, выключишь мне, нахуй, сейчас еще, блядь, сука!!! Хватит, пора что-то менять, но как же, в одиночку?Здесь моим пафосным стихам близится точка.Если, хоть в одном из Вас, ничто не поменяется,То завтра не кому будет вступится за людей..."
154,"Что б пересилить слабость вашу в преддверии китайского внедрения,Надо немного почитать историю,Быть может сквозь говно пробьется вдруг сомнения.О том, что вряд ли нас спасет авось.И мне хуй класть на ваши, блядь, ужимки и гламурщину,Коль ты никто ты вряд ли станешь даже чем-то.Жизнь проживешь, как робот батареечный.И перед богом стоя, вдруг язык найдешь ты в жопе."
155,"Я долго ломал голову, чего сказать вначале... И решил ничего не говорить... Белые друзья... Белые друзья... Я прячу от друзей боли никчемных обид. И даже если в глазах моих огонёк не горит, Я подношу зажигалку, либо ко рту, либо под ложку И становлюсь самим собой, но только понарошку, Ну а какая им в принципе разница, особенно теперь, Когда нирвана ветром прихода пролезла в открытую дверь, И когда кто-то, закрыв глаза, повесив голову, тупо молчит, А кто-то полузакрыв говорит и говорит и говорит... Белые друзья, мои белые друзья... Белые друзья, мои белые друзья... Белые друзья, мои белые друзья... Белые друзья, белые, белые, белые... Я не знаю, как разорвать этот замкнутый круг, Врагом номер один уже стал не первый мой лучший друг. Кто-то уходит, чтобы сменить длинный рукав на футболку, Вернуться к себе, но это всё без толку! Что толку в его двухнедельной жизни как надо? Ему баян покажи, он тут же спросит: «Где вата? Есть? Нет? Тогда дай сигарету я через фильтр выберу.»  А как же футболка?! «Через неделю буду, буду, буду...» Белые друзья... Белые друзья... Я бегу от себя, от жуткой реальности, В нормальном состоянии я чую привкус ненормальности. Простые формальности доводят меня до крайности. Я не вижу в этом даже доли случайности. Ведь так происходит всегда, когда день не смазан белым. И даже солнце в синем небе мне будет казаться серым. И мне точно не помогут ваши центры реабилитации, В которых даже улыбка требует денежной компенсации. Такие ассоциации имел я в ротовые формации. И грязные ассигнации не дают здоровья нации... Не дают здоровья нации... Белые друзья... Белые друзья... Белые друзья... Белые друзья..."
156," Пишешь?-Да... Раз-два, раз-два... раз-два, раз-два, раз-два, раз... -Нормально так...-Точно пишется? Ну, проверь!-Точно пишется, я вижу...-Блин!-Я вижу... Там все нормально... Пишется, пишется!-Ну, все норм... е-е-е... а, а... е-е-е, come on, come on, checking out! Белыми листьями зацвело небо,Голуба моя, лети по свету к белому солнцу...Легкими крыльями небо взбивая,Оставь мне хотя бы след,Но не смей обернуться ко мне...Да, улетай ты, моя любовь...Грустить не буду все время залечит...Однажды в небе появится вновьДругая птица другая любовь...Я б разойдусь по разны стороны улиц,По темных улиц, оба конца печалью согрею яБолью огня...Слезы поют: ""Ты где то там, позади меня, позади меня...""О, мой сон вопрос: ""Кто я теперь и зачем живу я?""Без тебя, не мое все тут мне без тебя...Почему не лето, а зима так сыра?Ножом по сердцу слеза, мои мысли где-то...Лились на песок морей, лесов рек и туманных гор..."
157,"Белыми листьями Текст, вокал и гитара White Hot Ice  Пишешь?  Да... Раз-два, раз-два... раз-два, раз-два, раз-два, раз...  Нормально так...  Точно пишется? Ну, проверь!  Точно пишется, я вижу...  Блин!  Я вижу... Там все нормально... Пишется, пишется!  Ну, все норм... е-е-е... а, а... е-е-е, come on, come on, checking out! Белыми листьями зацвело небо, Голуба моя, лети по свету к белому солнцу... Легкими крыльями небо взбивая, Оставь мне хотя бы след, Но не смей обернуться ко мне... Да, улетай ты, моя любовь... Грустить не буду все время залечит... Однажды в небе появится вновь Другая птица другая любовь... Я б разойдусь по разны стороны улиц, По темных улиц, оба конца печалью согрею я Болью огня... Слезы поют: «Ты где то там, позади меня, позади меня...» О, мой сон вопрос: «Кто я теперь и зачем живу я?» Без тебя, не мое все тут мне без тебя... Почему не лето, а зима так сыра...? Ножом по сердцу слеза, мои мысли где-то... Лились на песок морей, лесов рек и туманных гор..."
158,"Алексей К. 1978 года рождения, учащийся московского индустриального институтаумер от передозировки героина 19 мая 1998 годаЕму было всего 20 лет...Многоточие... Многоточие... Многоточие... Многоточие...Многоточие... Многоточие... Многоточие... Многоточие...Бошки! Мои мозги сегодня, да!Тут там с напрягом героинс напрягом Хешзаряжай только деньгиПотом товар клади в карманыБудьте готовы к паровозам, наркоманыПрикол по дури да просто курим, а то что курим,От того и дурим. Так будемМерила Мрь Иванна мирно мерить этот мирЧтоб день ото дня продолжался этот пирА телки да по дури нам сделают минетВ руках бычки на опыте о том базара нет. Вот ответНа все ваши вопросы: растите косыПолитики все членососы...Меня зовут Руставели. Я против тяжелой наркоты и фальшивых музыкантовНо найдется ли человек, который со мной полностью согласен?Кузмитчъ здесь уууу-да, да как звездаУкуренной читкой вас бьет как всегда.Запаренной телегой я вас всех раскачаю,Потом тяжелыми рифмами по рост накачаю.Прощаю всех тех кто нас слышит в первый раз.Лигалайз отдыхает! Занозами вместо фразПулю в глаз, губителям белого рэпа наших подваловТобиш "" аста ла виста "" Влад Валов!Белым по черным губам: там-там-тамВам нравится мой новый шоколадный барабан?Тогда привет, и это будет опять наш ответНет-Черная смерть, да-водка привет.Мой совет плюс еще один забитый штакетПоверь мне на слово ты будешь просто в омлет.Белому нет, потому что белый это плохо,Под ручку с ним идти это неверная дорога,Слишком много парней съела белая могилаТы ведь не хочешь жить чтоб твое тело остыло?Тогда слушайте меня, все услышьте удары гонга.Так дослушайте историю доктора Кинг-Конга.Уууу захотел героина ты а? а?Нука пойди ты сюда, дебил безмозглый,Я промою тебе мозги, чтоб не повадно было тебеМедленную смерть греть на маленьком огне!Скотина, ты думаешь о тех кто рядомС тобой? Кто нуждается в тебе?Или нет? Все заменила низменная страсть -Подержанной струной по вене поточней попасть?Пасть завали, когда с тобой я говорюНе убью если, то стопудово покалечу,Отмечу тебя в списке разодранных в клочья.Чья подпись здесь? Кинк-Конг из Многоточья!Текст этой телеги ни в коем случае не является пропагандой тяжелых наркотиков.Группа Многоточие выступает против самой государственной системы, породившей наркоманию, и сделавшей ее стилем жизни молодежи конца 90-х...Анти-героин! Анти-героин! Многоточие!Анти-героин! Анти-героин! Многоточие!Анти-героин! Анти-героин! Многоточие!Анти-героин! Анти-героин! Многоточие!"
159,"Так много, вроде, сказать охота, но железобетонные клетки... вздыхаю... Юродивый стал императором, так как мало, кто его слушал... ч-ч-ч-ч... Вонзив мечи в своих братьев, воины трахают мертвых сестер. Глаза, полные крови: огонь и ад. Ненависть вдвойне сильнее в бессилии. Смотри, в журнале твоя малютка сосет большой черный х...! Слушай: шестьсот шестьдесят шесть человек: На данное время это точное число погибших, от них ничего не осталось! Иди по костям, разврату, хаосу, навстречу к своему чудесному за зеркальному раю!"
160,"Зачем я помню те дни, когда с тобой мы окунались В море солнечной любви? Тогда мы чувствами не игрались! Это было, как в сказке: вся жизнь перед глазами, Казалось, была заполнена и сбывшимися мечтами! А ты сидела рядом, меня гладила рукою, И тихо говорила: «Я всегда буду с тобою!» Тебе, почему-то, я верил, хотя знал, что всё проходит, Но влюблённые глаза, не видят того, что происходит! Обманутые счастьем, так боятся его потерять, Что в тряске над ним, перестают его ощущать! И, вскоре, я сидел один на краешке надежды, С мечтами о том, что, может, будет всё, как прежде! Но ужасающая реальность мою остудила кровь! И, казалось, на веке я забыл, что значит любовь! Что значит любовь! В жизни так бывает, Что любовь приходит вновь! Только пламя догорает, И не вьется в венах кровь! В жизни так бывает, Что любовь приходит вновь! Только пламя догорает, И не вьется в венах кровь! Да, так бывает: любовь умирает, Но, вроде бы, манит опять, манит. И, непонятно, куда же ушло всё тепло, Холод в глазах, ветер в словах... Страх перед болью от старых потерь, Откровенной любви захлопнута дверь. И теперь, когда в сердце нет больше огня, Теряется смысл каждого дня! Дрожь и озноб от лживых ветров, Сметающих доверие к теплу нежных слов, И голос, он, вроде бы, и милый, и родной, Почему нет любви?!. Ответ простой..."
161,"Готовьте ваши уши услышать То, чего не ожидали вы. Я знаю, вы мечтали Получить ответы: нету рэпа в городе любом на вроде этого! Столица веселится! Здесь веселье покупается знай! Не прыгай выше головы, пока цело ебало! В жизни так бывает: убивают всех, кого попало! А сколько гангстеров вокруг с большими яйцами, Что из кустов, дрожа, наблюдают, как друзей валят! Потом никто и не узнает! Так же руку пожимает, Улыбается, всюду за него впрягаются! Здесь так рождается хип-хоп и стыдно за него! Вижу в детских лицах полный восторг от него! И мне уж все равно, что люди обо мне подумают! В жизни так бывает: Судьбу не выбирают знай!"
162,"Кто мы? Карикатуры! Шум голосов для партитуры. Жизнью сором выброшенные на землю дуры Дураки  «РАБЫ» Возомнившие себя царями, Нарезаем мы друг дружку, Как потом салями Протыкаем плоть Никогда не подставляем локоть Думаем лишь о себе Превращая тело в мякоть Знаем библию от Сатаны Не знаем от Матфея Только семема раздора можем мы бесплатно сеять Кушаем беды новые плоды В трудные годы каждый человек лишь по пояс А ниже Скот Дьявол поселился в голове И в том что под штанами Даже тем кто правит нами Ведут пути с обрезанными концами Коли ожил Из под контроля вышел Бежит за Агасфер Словно кот за мышью На планете новые дети А он в рассинем свете Не могут жить вместе с нами Лица на паркете Конечностью в овраге Маги поднимаю краги И новые жертвы падают под новые стяги И новые души дьявол нижет на шампур... В МИРЕ КАРИКАТУР!!! Как тебе жить в мире карикатур? Как тебе жить в мире карикатур? Как тебе жить в мире карикатур? Как тебе? Как тебе? Как тебе жить в мире карикатур? Как тебе жить в мире карикатур? Как тебе жить в мире карикатур? Как тебе? Как тебе? Так много ль надо? Чтоб управлять человечьим братом Кто-то за кусок хлеба продан Кто-то куплен златом На ладан... дышат якобы гуманные устои Где власть Имущим высший сорт А беднякам помои Гои мы!.. узники кодированной монеты! И никто не в силе убежать С этой планеты И никто не в праве сделать выбор Не в праве сделать шаг И ни чего здесь не решат Ни Буш, ни Путин, ни Ширак Вот как! Правители, правители ломают лбы Колдуют над изобретением новой беды Под патронажем сатаны Вырезаются народы Во благо принципа Демократической свободы Голубой моды На пальцем деланных детей Горящих автобусов В свете тусклых фонарей Из свежих пасталых Новых дураков и новых дур... ДЛЯ МИРА КАРИКАТУР!!!"
163,"В моём городе, слишком много машин.В моём городе, слишком много ненужных людей.В моём городе, не уйти от дежурных витрин.В моём городе, легко достать героин. Под наркозом пожирает нас,Мой город...Передозом лиц, колёс и зла,Мой город...Каменными стенами домов,Мой город...Затихает на... Затихает на... В моём городе, люди не верят в то, что живут.В моём городе, птицы не поют,В моём городе, я не знаю соседей своих,В моём городе, каждый чужой среди чужих... Под наркозом пожирает нас,Мой город...Передозом лиц, колёс и зла,Мой город...Каменными стенами домов,Мой город...Затихает на... Затихает на могиле снов...На могиле снов, на могиле снов…"
164,"В моих глазах мир рушится на мелкие части! В моих глазах вы все уже трупы, гады! Все! В моих глазах за тихим заряженный мальчик! В моих глазах, ну где он, пацаны, ну где он? Ну где он?! А как я должен был жить здесь, В объятьях душной несвободы разума, Надломленной судьбы тысяч Истинных, входящих в новый век, людей, Видевших только разврат и хаос! Не выбирая путь, найти пытались суть Дети перемен, рабы замноготоченных вен, Падшие в бою невидимой войны за свободу, Которой у нас не было и не будет! Да!!! В моих глазах боль обиды, тень утраты За тех близких мне людей, которых не вернуть уже. В моих глазах Горячий Белый Лед и Многоточие. Чем больше слышу, тем меньше знаю, что впереди нас ждет! Я вижу зло, обретающее плоть! На каждое поколение выпало по своей войне! На каждого человека выпало по максимуму боли! Каждый из нас знает, что такое привкус крови на губах! Никто не знает, что с ним будет дальше, Никто не верит в то, что Бог это спаситель, А искуситель твою смерть раскрасит бережно: Виртуальный рай, наркотики, собаки-роботы! Я знаю близится конец этой войны последней, Войны с самими собою и с теми, кого сотворили, И с теми, кого выбирали и с теми, кто нас обманули! В моих глазах, вы все уже трупы, гады!!! В моих глазах мир рушится на мелкие части! В моих глазах вы все уже трупы, гады! Все! В моих глазах за тихим заряженный мальчик! В моих глазах, ну где он, пацаны, ну где он? Ну где он?! В моих глазах разработка войны канает! И каждый знает не со слов, что выбирает он Как купидон метает стрелы вам под кожу, Пускает паровозы в рожу, Потом на ложу. Кресты в могилы уже вбиты! Хотел ты стать королем? Так будут тебе свиты, Потому как он рогатый дьявол уже схавал Тебя и тех пацанов с кем раньше хаву хавал! Именем Бога просить за тебя будут люди, Хотя делами своими напоминать Иуду! Я не могу изменить того, что здесь происходит, Здесь кто-то теряет, а кто-то находит..."
